Time	EMG	Muscle Force
18.199	-4.90785	0.277683
18.2	-3.17563	0.277683
18.201	-1.36958	0.277683
18.202	0.191627	0.277683
18.203	1.28223	0.277683
18.204	1.82147	0.277683
18.205	1.74713	0.277683
18.206	1.16031	0.277683
18.207	0.141511	0.277683
18.208	-1.17168	0.277683
18.209	-2.61209	0.277683
18.21	-3.97568	0.277683
18.211	0.429172	0.277683
18.212	6.30789	0.277683
18.213	-2.71498	0.277683
18.214	6.49152	0.277683
18.215	-3.6335	0.277683
18.216	-2.25189	0.277683
18.217	-0.977007	0.277683
18.218	-0.0615033	0.277683
18.219	0.380414	0.277683
18.22	0.404615	0.277683
18.221	0.208932	0.277683
18.222	0.021736	0.277683
18.223	0.0428368	0.277683
18.224	0.393393	0.277683
18.225	1.02397	0.277683
18.226	1.77116	0.277683
18.227	2.42063	0.277683
18.228	-19.2593	0.277683
18.229	21.4002	0.277683
18.23	-11.5293	0.277683
18.231	4.63713	0.277683
18.232	0.601396	0.277683
18.233	-0.226577	0.277683
18.234	-0.781869	0.277683
18.235	-0.932702	0.277683
18.236	-0.651127	0.277683
18.237	-0.0416113	0.277683
18.238	0.67553	0.277683
18.239	1.22925	0.277683
18.24	1.32746	0.277683
18.241	0.793322	0.277683
18.242	-0.402311	0.277683
18.243	-2.09814	0.277683
18.244	-3.97177	0.277683
18.245	-7.46153	0.277683
18.246	8.15553	0.277683
18.247	15.2288	0.277683
18.248	-6.26543	0.277683
18.249	-4.90826	0.277683
18.25	-3.13397	0.277683
18.251	-1.29681	0.277683
18.252	0.280554	0.277683
18.253	1.36886	0.277683
18.254	1.88205	0.277683
18.255	1.75854	0.277683
18.256	1.10448	0.277683
18.257	0.00961472	0.277683
18.258	-1.37368	0.277683
18.259	-2.86009	0.277683
18.26	-4.23122	0.277683
18.261	1.59374	0.277683
18.262	7.10311	0.277683
18.263	-3.74579	0.277683
18.264	5.78275	0.277683
18.265	-3.5221	0.277683
18.266	-2.10136	0.277683
18.267	-0.821972	0.277683
18.268	0.0697033	0.277683
18.269	0.469925	0.277683
18.27	0.444632	0.277683
18.271	0.196436	0.277683
18.272	-0.0395401	0.277683
18.273	-0.0593646	0.277683
18.274	0.262052	0.277683
18.275	0.882226	0.277683
18.276	1.64425	0.277683
18.277	2.33612	0.277683
18.278	-17.8573	0.277683
18.279	21.3036	0.277683
18.28	-12.4877	0.277683
18.281	4.26143	0.277683
18.282	0.78978	0.277683
18.283	-0.0522269	0.277683
18.284	-0.643017	0.277683
18.285	-0.838142	0.277683
18.286	-0.598927	0.277683
18.287	-0.0273958	0.277683
18.288	0.655254	0.277683
18.289	1.17594	0.277683
18.29	1.23947	0.277683
18.291	0.67109	0.277683
18.292	-0.549904	0.277683
18.293	-2.25207	0.277683
18.294	-4.10647	0.277683
18.295	-5.66108	0.277683
18.296	7.76606	0.277683
18.297	13.9061	0.277683
18.298	-6.18644	0.277683
18.299	-4.79822	0.277683
18.3	-3.01157	0.277683
18.301	-1.17574	0.277683
18.302	0.391783	0.277683
18.303	1.46261	0.277683
18.304	1.94359	0.277683
18.305	1.76706	0.277683
18.306	1.03582	0.277683
18.307	-0.156907	0.277683
18.308	-1.64337	0.277683
18.309	-3.21447	0.277683
18.31	-4.62784	0.277683
18.311	3.27598	0.277683
18.312	7.94693	0.277683
18.313	-5.04086	0.277683
18.314	5.13499	0.277683
18.315	-3.48603	0.277683
18.316	-1.99135	0.277683
18.317	-0.680037	0.277683
18.318	0.207634	0.277683
18.319	0.581019	0.277683
18.32	0.518619	0.277683
18.321	0.227926	0.277683
18.322	-0.0538565	0.277683
18.323	-0.126379	0.277683
18.324	0.131754	0.277683
18.325	0.68258	0.277683
18.326	1.38111	0.277683
18.327	2.03137	0.277683
18.328	-16.3388	0.277683
18.329	21.4826	0.277683
18.33	-13.5083	0.277683
18.331	4.1392	0.277683
18.332	0.784359	0.277683
18.333	0.0182808	0.277683
18.334	-0.532785	0.277683
18.335	-0.729447	0.277683
18.336	-0.527341	0.277683
18.337	-0.0165283	0.277683
18.338	0.602263	0.277683
18.339	1.0779	0.277683
18.34	1.13053	0.277683
18.341	0.593647	0.277683
18.342	-0.554743	0.277683
18.343	-2.15526	0.277683
18.344	-3.89974	0.277683
18.345	-4.74043	0.277683
18.346	6.86265	0.277683
18.347	13.098	0.277683
18.348	-5.8664	0.277683
18.349	-4.55445	0.277683
18.35	-2.85591	0.277683
18.351	-1.09792	0.277683
18.352	0.41627	0.277683
18.353	1.46001	0.277683
18.354	1.92779	0.277683
18.355	1.73801	0.277683
18.356	0.981058	0.277683
18.357	-0.255127	0.277683
18.358	-1.79546	0.277683
18.359	-3.41459	0.277683
18.36	-4.85242	0.277683
18.361	4.62292	0.277683
18.362	8.17914	0.277683
18.363	-6.00453	0.277683
18.364	4.8382	0.277683
18.365	-3.44276	0.277683
18.366	-1.90506	0.277683
18.367	-0.57609	0.277683
18.368	0.307787	0.277683
18.369	0.662549	0.277683
18.37	0.571881	0.277683
18.371	0.243593	0.277683
18.372	-0.0828096	0.277683
18.373	-0.205821	0.277683
18.374	0.000655272	0.277683
18.375	0.509118	0.277683
18.376	1.187	0.277683
18.377	1.84768	0.277683
18.378	-14.7065	0.277683
18.379	21.277	0.277683
18.38	-14.4453	0.277683
18.381	3.90173	0.277683
18.382	0.890901	0.277683
18.383	0.135995	0.277683
18.384	-0.427958	0.277683
18.385	-0.650086	0.277683
18.386	-0.474307	0.277683
18.387	0.0136308	0.277683
18.388	0.612632	0.277683
18.389	1.06649	0.277683
18.39	1.0865	0.277683
18.391	0.502256	0.277683
18.392	-0.703892	0.277683
18.393	-2.36129	0.277683
18.394	-4.14752	0.277683
18.395	-3.24192	0.277683
18.396	6.40935	0.277683
18.397	12.6596	0.277683
18.398	-5.99298	0.277683
18.399	-4.60395	0.277683
18.4	-2.834	0.277683
18.401	-1.02167	0.277683
18.402	0.521559	0.277683
18.403	1.56424	0.277683
18.404	1.99757	0.277683
18.405	1.74572	0.277683
18.406	0.910146	0.277683
18.407	-0.406418	0.277683
18.408	-2.01036	0.277683
18.409	-3.65877	0.277683
18.41	-5.08124	0.277683
18.411	5.94903	0.277683
18.412	8.9487	0.277683
18.413	-7.36765	0.277683
18.414	4.2837	0.277683
18.415	-3.29139	0.277683
18.416	-1.73832	0.277683
18.417	-0.424778	0.277683
18.418	0.425778	0.277683
18.419	0.742568	0.277683
18.42	0.616801	0.277683
18.421	0.253945	0.277683
18.422	-0.110056	0.277683
18.423	-0.279971	0.277683
18.424	-0.131209	0.277683
18.425	0.316816	0.277683
18.426	0.946544	0.277683
18.427	1.5877	0.277683
18.428	-13.1909	0.277683
18.429	21.5697	0.277683
18.43	-15.5082	0.277683
18.431	3.48747	0.277683
18.432	0.977463	0.277683
18.433	0.274312	0.277683
18.434	-0.277184	0.277683
18.435	-0.524213	0.277683
18.436	-0.400466	0.277683
18.437	0.0207974	0.277683
18.438	0.555591	0.277683
18.439	0.964853	0.277683
18.44	0.970568	0.277683
18.441	0.407593	0.277683
18.442	-0.742105	0.277683
18.443	-2.31635	0.277683
18.444	-4.00875	0.277683
18.445	-1.98743	0.277683
18.446	5.48703	0.277683
18.447	11.7084	0.277683
18.448	-5.7237	0.277683
18.449	-4.38761	0.277683
18.45	-2.68004	0.277683
18.451	-0.921473	0.277683
18.452	0.586126	0.277683
18.453	1.60824	0.277683
18.454	2.02027	0.277683
18.455	1.73143	0.277683
18.456	0.833544	0.277683
18.457	-0.568898	0.277683
18.458	-2.26542	0.277683
18.459	-3.98609	0.277683
18.46	-5.43441	0.277683
18.461	7.7918	0.277683
18.462	9.62371	0.277683
18.463	-8.59757	0.277683
18.464	3.29162	0.277683
18.465	-3.13141	0.277683
18.466	-1.51107	0.277683
18.467	-0.186786	0.277683
18.468	0.622589	0.277683
18.469	0.8611	0.277683
18.47	0.639776	0.277683
18.471	0.182847	0.277683
18.472	-0.25236	0.277683
18.473	-0.45522	0.277683
18.474	-0.291397	0.277683
18.475	0.224195	0.277683
18.476	0.969003	0.277683
18.477	1.75649	0.277683
18.478	-11.6219	0.277683
18.479	20.94	0.277683
18.48	-16.7341	0.277683
18.481	3.12016	0.277683
18.482	1.42954	0.277683
18.483	0.610486	0.277683
